grid_xy,,,,,,,,,,,,,,,,,,
id,Shape_Leng,Shape_Area,num_occurrences,PA_count,RoadLength,RoadDensity,GDP,TravelTime,Elevation,n_total,n_in_pa,pa_ratio,topographic_roughness,mean_pop,log_TravelTime,log_mean_pop,region,sampling_effort
570,110.2077619,82.15854469,7,0,177.0387469,0.283261995,0.302615031,69.58009709,237.7614573,7,0,0,26.63318825,326.1665344,4.256748194,5.790469321,2,1
571,110.2077619,82.15854469,3,0,252.0323826,0.403251812,0.048447867,110.0793651,594.8985684,3,0,0,64.98484039,108.0915909,4.710244947,4.692187813,2,1
572,110.2077619,82.15854469,23,0,299.294053,0.478870485,0.051195391,151.6847826,779.9614293,23,0,0,96.92188263,91.0858078,5.028375552,4.522720836,2,1
573,110.2077619,82.15854469,0,0,330.6083971,0.528973435,0.048792816,168.7444444,845.1746354,0,0,0,92.57331848,98.64674377,5.134294038,4.60163137,2,0
574,110.2077619,82.15854469,99,0,226.714526,0.362743242,0.362355239,58.87901235,792.7202969,99,0,0,97.89562988,218.6661072,4.092326066,5.392108699,1,1
575,110.2077619,82.15854469,4,0,234.0820665,0.374531306,0.047379965,105.5962963,1138.187919,4,0,0,103.4122391,78.58498383,4.669048767,4.37682543,1,1
576,110.2077619,82.15854469,3,0,151.3304188,0.24212867,0.038758366,135.3684834,1320.437047,3,0,0,92.99747467,114.73806,4.915360659,4.751329534,1,1
577,110.2077619,82.15854469,68,1,143.5788244,0.229726119,0.059472427,78.63447433,1381.988563,68,0,0,88.73892975,172.378418,4.377447094,5.155476593,1,1
578,110.2077619,82.15854469,65,0,134.7192142,0.215550743,0.793363374,42.41851852,1267.480993,65,0,0,93.16871643,414.7566833,3.770886044,6.030100193,1,1
579,110.2077619,82.15854469,23,0,52.1718983,0.083475037,0.415732989,57.04691358,534.9482673,23,0,0,73.31320953,277.2660522,4.061251538,5.628577679,1,1
582,110.2077619,82.15854469,17,0,29.40832151,0.047053314,0.390866196,113.9914842,892.9018285,17,0,0,95.96580505,140.9076691,4.744858075,4.955176628,1,1
583,110.2077619,82.15854469,78,0,172.9245666,0.276679307,0.891540028,55.08765432,1292.76739,78,0,0,111.25177,154.8058624,4.026915723,5.048610761,1,1
584,110.2077619,82.15854469,1,0,0,0,0.028796345,388.8290283,1681.688052,1,0,0,128.621582,17.7461853,5.965708254,2.930990281,1,1
585,110.2077619,82.15854469,18,2,113.4081173,0.181452988,0.02261116,346.2031824,948.7457267,18,0,0,115.1139679,55.17879486,5.849910149,4.02853937,1,1
586,110.2077619,82.15854469,25,2,95.70740485,0.153131848,0.047155284,224.047619,815.6495127,25,6,0.24,71.63231659,64.43758392,5.41631202,4.181096771,1,1
588,110.2077619,82.15854469,0,2,27.39719009,0.043835504,0.010758733,643.8026961,995.5385517,0,0,0,106.7773209,15.80356216,6.468944372,2.821590898,1,0
589,110.2077619,82.15854469,20,2,0,0,0.012301088,281.5184275,632.1258774,20,11,0.55,96.86694336,22.12679672,5.643743779,3.140991976,1,1
590,110.2077619,82.15854469,18,3,20.51380888,0.032822094,0.025860601,162.6375921,720.119176,18,0,0,90.66598511,79.81910706,5.097654179,4.392213411,1,1
591,110.2077619,82.15854469,13,1,118.9996068,0.190399371,0.158007541,133.485258,716.7800863,13,0,0,82.46971893,252.8309479,4.901454587,5.536668486,1,1
592,110.2077619,82.15854469,11,3,140.7465812,0.22519453,0.154014593,105.970516,407.0606438,11,0,0,41.2675705,270.8911133,4.672553245,5.605401667,1,1
670,110.2077619,82.15854469,14,0,190.4902882,0.304784461,0.248446115,76.82345679,232.380856,14,0,0,30.63734436,276.6358948,4.354442887,5.626310524,2,1
671,110.2077619,82.15854469,0,0,199.6514756,0.319442361,0.137033052,94.49156627,357.6019167,0,0,0,31.61543655,132.7695465,4.559037932,4.896118517,2,0
672,110.2077619,82.15854469,24,0,202.0831161,0.323332986,0.129528883,70.8854041,657.2430817,24,0,0,62.81061935,133.2055511,4.275073241,4.899372588,2,1
673,110.2077619,82.15854469,0,0,276.9279022,0.443084643,0.062192978,120.5604938,1046.753848,0,0,0,108.548851,86.4171524,4.80041203,4.470691515,2,0
674,110.2077619,82.15854469,2,0,369.342356,0.59094777,0.090094029,154.917284,977.2002262,2,0,0,118.0828629,97.06981659,5.049325636,4.585679639,2,1
675,110.2077619,82.15854469,10,0,329.0873066,0.526539691,0.09281467,219.5878136,1215.324294,10,0,0,101.4985352,108.6680527,5.396295863,4.6974581,2,1
676,110.2077619,82.15854469,12,0,318.1563018,0.509050083,0.071222983,220.5444444,1639.570724,12,0,0,99.88488007,94.6443634,5.400623221,4.560636765,2,1
677,110.2077619,82.15854469,88,0,379.1854862,0.606696778,0.083748024,124.9358025,1025.267089,88,0,0,91.42131042,99.29383087,4.835772273,4.608104186,2,1
678,110.2077619,82.15854469,55,0,319.3074929,0.510891989,0.066482832,112.3325243,1655.816776,55,0,0,94.06076813,122.918396,4.73032619,4.819623252,1,1
679,110.2077619,82.15854469,3,0,195.112738,0.312180381,0.096870693,143.5674362,1408.337241,3,0,0,104.1719742,141.8219299,4.973746085,4.961598609,1,1
680,110.2077619,82.15854469,53,1,87.16767417,0.139468279,0.044041256,166.9343066,2455.903045,53,0,0,110.137291,106.5342865,5.123572871,4.677809741,1,1
681,110.2077619,82.15854469,76,0,135.5769256,0.216923081,0.695409271,36.9617284,1276.27747,76,0,0,112.3814392,354.4152832,3.636578505,5.873286918,1,1
682,110.2077619,82.15854469,97,0,93.33365539,0.149333849,0.811741357,22.90240964,1084.944472,97,0,0,107.4272995,512.7788086,3.173979276,6.241792839,1,1
683,110.2077619,82.15854469,29,1,49.52805565,0.079244889,0.118298732,174.9599028,1699.896196,29,0,0,110.4099045,232.1393433,5.170256144,5.451636315,1,1
684,110.2077619,82.15854469,3,1,3.940981977,0.006305571,0.011134865,517.362963,2088.881688,3,0,0,116.6325302,52.74224854,6.250675698,3.984199443,1,1
685,110.2077619,82.15854469,0,1,0,0,0.001265018,365.7990256,2310.520656,0,0,0,118.0679779,27.1436348,5.904814084,3.337321212,1,0
686,110.2077619,82.15854469,19,0,130.4148851,0.208663816,0.182387777,167.1836983,2666.182572,19,0,0,118.6977158,55.12852859,5.125056824,4.027644214,1,1
687,110.2077619,82.15854469,6,1,65.82805164,0.105324883,0.007727843,485.453106,2734.25478,6,0,0,111.4034271,55.72428131,6.187140506,4.038202361,1,1
688,110.2077619,82.15854469,17,2,150.0309243,0.240049479,0.007264495,311.6646116,1650.096087,17,4,0.235294118,115.9585037,44.52418137,5.745131088,3.818243643,1,1
689,110.2077619,82.15854469,11,2,7.770648542,0.012433038,0.002631471,667.2490842,2140.194585,11,2,0.181818182,130.9794464,32.78167725,6.504660985,3.519918562,1,1
